,Features
1883,"{'danceability': 0.195, 'energy': 0.483, 'key': 4, 'loudness': -4.991, 'mode': 0, 'speechiness': 0.03, 'acousticness': 0.465, 'instrumentalness': 0.497, 'liveness': 0.0686, 'valence': 0.173, 'tempo': 84.71, 'type': 'audio_features', 'id': '6L5BZEcZmD6RBJnimzlyKr', 'uri': 'spotify:track:6L5BZEcZmD6RBJnimzlyKr', 'track_href': 'https://api.spotify.com/v1/tracks/6L5BZEcZmD6RBJnimzlyKr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6L5BZEcZmD6RBJnimzlyKr', 'duration_ms': 269107, 'time_signature': 4}"
1884,"{'danceability': 0.663, 'energy': 0.588, 'key': 0, 'loudness': -14.416, 'mode': 1, 'speechiness': 0.0405, 'acousticness': 0.259, 'instrumentalness': 0.00626, 'liveness': 0.221, 'valence': 0.537, 'tempo': 102.738, 'type': 'audio_features', 'id': '3OM0cHwmJv6ZpsCgrEzXPh', 'uri': 'spotify:track:3OM0cHwmJv6ZpsCgrEzXPh', 'track_href': 'https://api.spotify.com/v1/tracks/3OM0cHwmJv6ZpsCgrEzXPh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3OM0cHwmJv6ZpsCgrEzXPh', 'duration_ms': 240800, 'time_signature': 4}"
1885,"{'danceability': 0.266, 'energy': 0.831, 'key': 4, 'loudness': -9.07, 'mode': 1, 'speechiness': 0.0453, 'acousticness': 0.000862, 'instrumentalness': 0, 'liveness': 0.0555, 'valence': 0.778, 'tempo': 175.514, 'type': 'audio_features', 'id': '5YUJMvTg4AWHKjqQidTsGK', 'uri': 'spotify:track:5YUJMvTg4AWHKjqQidTsGK', 'track_href': 'https://api.spotify.com/v1/tracks/5YUJMvTg4AWHKjqQidTsGK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5YUJMvTg4AWHKjqQidTsGK', 'duration_ms': 163693, 'time_signature': 4}"
1886,"{'danceability': 0.298, 'energy': 0.766, 'key': 4, 'loudness': -3.485, 'mode': 0, 'speechiness': 0.0347, 'acousticness': 0.00203, 'instrumentalness': 3.84e-06, 'liveness': 0.117, 'valence': 0.0923, 'tempo': 121.555, 'type': 'audio_features', 'id': '6guXhXMAHU4QYaEsobnS6v', 'uri': 'spotify:track:6guXhXMAHU4QYaEsobnS6v', 'track_href': 'https://api.spotify.com/v1/tracks/6guXhXMAHU4QYaEsobnS6v', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6guXhXMAHU4QYaEsobnS6v', 'duration_ms': 466587, 'time_signature': 4}"
1887,"{'danceability': 0.314, 'energy': 0.959, 'key': 4, 'loudness': -4.657, 'mode': 0, 'speechiness': 0.0908, 'acousticness': 0.0263, 'instrumentalness': 0.000148, 'liveness': 0.161, 'valence': 0.492, 'tempo': 154.221, 'type': 'audio_features', 'id': '2V0T2LS0pf2r3EFpOEkZFO', 'uri': 'spotify:track:2V0T2LS0pf2r3EFpOEkZFO', 'track_href': 'https://api.spotify.com/v1/tracks/2V0T2LS0pf2r3EFpOEkZFO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2V0T2LS0pf2r3EFpOEkZFO', 'duration_ms': 309640, 'time_signature': 4}"
1888,"{'danceability': 0.748, 'energy': 0.414, 'key': 2, 'loudness': -15.15, 'mode': 0, 'speechiness': 0.0405, 'acousticness': 0.069, 'instrumentalness': 0.0671, 'liveness': 0.336, 'valence': 0.239, 'tempo': 97.646, 'type': 'audio_features', 'id': '3BZGi1yUqQyCNC868AqUGG', 'uri': 'spotify:track:3BZGi1yUqQyCNC868AqUGG', 'track_href': 'https://api.spotify.com/v1/tracks/3BZGi1yUqQyCNC868AqUGG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3BZGi1yUqQyCNC868AqUGG', 'duration_ms': 286160, 'time_signature': 4}"
1889,"{'danceability': 0.577, 'energy': 0.654, 'key': 0, 'loudness': -7.9, 'mode': 0, 'speechiness': 0.0321, 'acousticness': 0.0143, 'instrumentalness': 0, 'liveness': 0.114, 'valence': 0.13, 'tempo': 111.993, 'type': 'audio_features', 'id': '4WhyHQ2BXi2VU1iaFbF6jv', 'uri': 'spotify:track:4WhyHQ2BXi2VU1iaFbF6jv', 'track_href': 'https://api.spotify.com/v1/tracks/4WhyHQ2BXi2VU1iaFbF6jv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4WhyHQ2BXi2VU1iaFbF6jv', 'duration_ms': 285893, 'time_signature': 4}"
1890,"{'danceability': 0.624, 'energy': 0.554, 'key': 2, 'loudness': -8.113, 'mode': 1, 'speechiness': 0.0225, 'acousticness': 0.191, 'instrumentalness': 0.00131, 'liveness': 0.299, 'valence': 0.311, 'tempo': 97.031, 'type': 'audio_features', 'id': '4gs07VlJST4bdxGbBsXVue', 'uri': 'spotify:track:4gs07VlJST4bdxGbBsXVue', 'track_href': 'https://api.spotify.com/v1/tracks/4gs07VlJST4bdxGbBsXVue', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4gs07VlJST4bdxGbBsXVue', 'duration_ms': 269720, 'time_signature': 4}"
1891,"{'danceability': 0.523, 'energy': 0.764, 'key': 2, 'loudness': -5.069, 'mode': 0, 'speechiness': 0.027, 'acousticness': 0.417, 'instrumentalness': 2.96e-06, 'liveness': 0.566, 'valence': 0.629, 'tempo': 91.975, 'type': 'audio_features', 'id': '6gCeQ6xJs2tYdLRzCPxeTZ', 'uri': 'spotify:track:6gCeQ6xJs2tYdLRzCPxeTZ', 'track_href': 'https://api.spotify.com/v1/tracks/6gCeQ6xJs2tYdLRzCPxeTZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6gCeQ6xJs2tYdLRzCPxeTZ', 'duration_ms': 219453, 'time_signature': 4}"
1892,"{'danceability': 0.365, 'energy': 0.466, 'key': 2, 'loudness': -7.514, 'mode': 1, 'speechiness': 0.0418, 'acousticness': 0.161, 'instrumentalness': 6.68e-06, 'liveness': 0.106, 'valence': 0.487, 'tempo': 95.163, 'type': 'audio_features', 'id': '1PXsUXSM3LF2XNSkmIldPb', 'uri': 'spotify:track:1PXsUXSM3LF2XNSkmIldPb', 'track_href': 'https://api.spotify.com/v1/tracks/1PXsUXSM3LF2XNSkmIldPb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1PXsUXSM3LF2XNSkmIldPb', 'duration_ms': 251267, 'time_signature': 4}"
1893,"{'danceability': 0.848, 'energy': 0.768, 'key': 6, 'loudness': -5.386, 'mode': 0, 'speechiness': 0.0373, 'acousticness': 0.0412, 'instrumentalness': 0.000785, 'liveness': 0.195, 'valence': 0.777, 'tempo': 118.961, 'type': 'audio_features', 'id': '66W1rVTnEv86dIkFhoiElg', 'uri': 'spotify:track:66W1rVTnEv86dIkFhoiElg', 'track_href': 'https://api.spotify.com/v1/tracks/66W1rVTnEv86dIkFhoiElg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/66W1rVTnEv86dIkFhoiElg', 'duration_ms': 176767, 'time_signature': 4}"
1894,"{'danceability': 0.223, 'energy': 0.794, 'key': 11, 'loudness': -10.013, 'mode': 0, 'speechiness': 0.0372, 'acousticness': 0.00982, 'instrumentalness': 0.381, 'liveness': 0.115, 'valence': 0.916, 'tempo': 196.237, 'type': 'audio_features', 'id': '62fmMjB8W5nIBVRBOW3K1d', 'uri': 'spotify:track:62fmMjB8W5nIBVRBOW3K1d', 'track_href': 'https://api.spotify.com/v1/tracks/62fmMjB8W5nIBVRBOW3K1d', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/62fmMjB8W5nIBVRBOW3K1d', 'duration_ms': 248440, 'time_signature': 3}"
1895,"{'danceability': 0.785, 'energy': 0.431, 'key': 10, 'loudness': -8.756, 'mode': 0, 'speechiness': 0.0364, 'acousticness': 0.123, 'instrumentalness': 0, 'liveness': 0.0887, 'valence': 0.236, 'tempo': 127.085, 'type': 'audio_features', 'id': '4TnjEaWOeW0eKTKIEvJyCa', 'uri': 'spotify:track:4TnjEaWOeW0eKTKIEvJyCa', 'track_href': 'https://api.spotify.com/v1/tracks/4TnjEaWOeW0eKTKIEvJyCa', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4TnjEaWOeW0eKTKIEvJyCa', 'duration_ms': 159382, 'time_signature': 4}"
1896,"{'danceability': 0.822, 'energy': 0.969, 'key': 7, 'loudness': -11.471, 'mode': 0, 'speechiness': 0.0582, 'acousticness': 0.259, 'instrumentalness': 0.000162, 'liveness': 0.39, 'valence': 0.765, 'tempo': 128.007, 'type': 'audio_features', 'id': '2yAVzRiEQooPEJ9SYx11L3', 'uri': 'spotify:track:2yAVzRiEQooPEJ9SYx11L3', 'track_href': 'https://api.spotify.com/v1/tracks/2yAVzRiEQooPEJ9SYx11L3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2yAVzRiEQooPEJ9SYx11L3', 'duration_ms': 283748, 'time_signature': 4}"
1897,"{'danceability': 0.649, 'energy': 0.531, 'key': 4, 'loudness': -8.335, 'mode': 1, 'speechiness': 0.0363, 'acousticness': 0.457, 'instrumentalness': 0, 'liveness': 0.249, 'valence': 0.488, 'tempo': 78.946, 'type': 'audio_features', 'id': '2aBxt229cbLDOvtL7Xbb9x', 'uri': 'spotify:track:2aBxt229cbLDOvtL7Xbb9x', 'track_href': 'https://api.spotify.com/v1/tracks/2aBxt229cbLDOvtL7Xbb9x', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2aBxt229cbLDOvtL7Xbb9x', 'duration_ms': 258133, 'time_signature': 4}"
1898,"{'danceability': 0.472, 'energy': 0.752, 'key': 0, 'loudness': -6.051, 'mode': 1, 'speechiness': 0.0555, 'acousticness': 0.000164, 'instrumentalness': 0.181, 'liveness': 0.0903, 'valence': 0.305, 'tempo': 133.248, 'type': 'audio_features', 'id': '78YJJJH55MSyk7547100sW', 'uri': 'spotify:track:78YJJJH55MSyk7547100sW', 'track_href': 'https://api.spotify.com/v1/tracks/78YJJJH55MSyk7547100sW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/78YJJJH55MSyk7547100sW', 'duration_ms': 320107, 'time_signature': 4}"
1899,"{'danceability': 0.706, 'energy': 0.57, 'key': 11, 'loudness': -7.129, 'mode': 1, 'speechiness': 0.0841, 'acousticness': 0.689, 'instrumentalness': 0.0698, 'liveness': 0.288, 'valence': 0.96, 'tempo': 115.864, 'type': 'audio_features', 'id': '6jypaMkKsoc5npsVzxhksl', 'uri': 'spotify:track:6jypaMkKsoc5npsVzxhksl', 'track_href': 'https://api.spotify.com/v1/tracks/6jypaMkKsoc5npsVzxhksl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6jypaMkKsoc5npsVzxhksl', 'duration_ms': 39640, 'time_signature': 4}"
1900,"{'danceability': 0.544, 'energy': 0.99, 'key': 5, 'loudness': -5.065, 'mode': 0, 'speechiness': 0.0972, 'acousticness': 0.00422, 'instrumentalness': 0, 'liveness': 0.0977, 'valence': 0.282, 'tempo': 128.038, 'type': 'audio_features', 'id': '5Fc7H21N639byTBNo4AifM', 'uri': 'spotify:track:5Fc7H21N639byTBNo4AifM', 'track_href': 'https://api.spotify.com/v1/tracks/5Fc7H21N639byTBNo4AifM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5Fc7H21N639byTBNo4AifM', 'duration_ms': 215048, 'time_signature': 4}"
1901,"{'danceability': 0.704, 'energy': 0.792, 'key': 2, 'loudness': -4.831, 'mode': 1, 'speechiness': 0.198, 'acousticness': 0.00981, 'instrumentalness': 0, 'liveness': 0.365, 'valence': 0.646, 'tempo': 118.022, 'type': 'audio_features', 'id': '1Vp4St7JcXaUoJcIahtf3L', 'uri': 'spotify:track:1Vp4St7JcXaUoJcIahtf3L', 'track_href': 'https://api.spotify.com/v1/tracks/1Vp4St7JcXaUoJcIahtf3L', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1Vp4St7JcXaUoJcIahtf3L', 'duration_ms': 322800, 'time_signature': 4}"
1902,"{'danceability': 0.661, 'energy': 0.876, 'key': 2, 'loudness': -7.526, 'mode': 1, 'speechiness': 0.0793, 'acousticness': 0.0158, 'instrumentalness': 0.00155, 'liveness': 0.0675, 'valence': 0.293, 'tempo': 101.951, 'type': 'audio_features', 'id': '0F26qOnpdFCXzqF2r6v6TV', 'uri': 'spotify:track:0F26qOnpdFCXzqF2r6v6TV', 'track_href': 'https://api.spotify.com/v1/tracks/0F26qOnpdFCXzqF2r6v6TV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0F26qOnpdFCXzqF2r6v6TV', 'duration_ms': 248707, 'time_signature': 4}"
1903,"{'danceability': 0.41, 'energy': 0.37, 'key': 4, 'loudness': -15.757, 'mode': 0, 'speechiness': 0.0766, 'acousticness': 0.697, 'instrumentalness': 0.000144, 'liveness': 0.211, 'valence': 0.33, 'tempo': 76.926, 'type': 'audio_features', 'id': '1UMXtudajhlocMzXVSngDU', 'uri': 'spotify:track:1UMXtudajhlocMzXVSngDU', 'track_href': 'https://api.spotify.com/v1/tracks/1UMXtudajhlocMzXVSngDU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1UMXtudajhlocMzXVSngDU', 'duration_ms': 318846, 'time_signature': 4}"
1904,"{'danceability': 0.561, 'energy': 0.909, 'key': 3, 'loudness': -7.878, 'mode': 1, 'speechiness': 0.0312, 'acousticness': 0.00118, 'instrumentalness': 0.46, 'liveness': 0.0713, 'valence': 0.71, 'tempo': 127.172, 'type': 'audio_features', 'id': '4Fpsa3pYc3gozrxHRRPvR6', 'uri': 'spotify:track:4Fpsa3pYc3gozrxHRRPvR6', 'track_href': 'https://api.spotify.com/v1/tracks/4Fpsa3pYc3gozrxHRRPvR6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4Fpsa3pYc3gozrxHRRPvR6', 'duration_ms': 320693, 'time_signature': 4}"
1905,"{'danceability': 0.523, 'energy': 0.402, 'key': 0, 'loudness': -8.233, 'mode': 1, 'speechiness': 0.0305, 'acousticness': 0.778, 'instrumentalness': 0, 'liveness': 0.432, 'valence': 0.675, 'tempo': 70.863, 'type': 'audio_features', 'id': '0WVTQp3SOCuMr08jh1jweV', 'uri': 'spotify:track:0WVTQp3SOCuMr08jh1jweV', 'track_href': 'https://api.spotify.com/v1/tracks/0WVTQp3SOCuMr08jh1jweV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0WVTQp3SOCuMr08jh1jweV', 'duration_ms': 162533, 'time_signature': 4}"
1906,"{'danceability': 0.53, 'energy': 0.422, 'key': 5, 'loudness': -6.262, 'mode': 1, 'speechiness': 0.0342, 'acousticness': 0.407, 'instrumentalness': 0, 'liveness': 0.107, 'valence': 0.349, 'tempo': 119.964, 'type': 'audio_features', 'id': '2vwlzO0Qp8kfEtzTsCXfyE', 'uri': 'spotify:track:2vwlzO0Qp8kfEtzTsCXfyE', 'track_href': 'https://api.spotify.com/v1/tracks/2vwlzO0Qp8kfEtzTsCXfyE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2vwlzO0Qp8kfEtzTsCXfyE', 'duration_ms': 221360, 'time_signature': 4}"
1907,"{'danceability': 0.49, 'energy': 0.777, 'key': 7, 'loudness': -11.521, 'mode': 1, 'speechiness': 0.0974, 'acousticness': 0.00101, 'instrumentalness': 0.898, 'liveness': 0.0896, 'valence': 0.729, 'tempo': 135.991, 'type': 'audio_features', 'id': '0eECFDnWy0RdjMmJ8NOeAL', 'uri': 'spotify:track:0eECFDnWy0RdjMmJ8NOeAL', 'track_href': 'https://api.spotify.com/v1/tracks/0eECFDnWy0RdjMmJ8NOeAL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0eECFDnWy0RdjMmJ8NOeAL', 'duration_ms': 192743, 'time_signature': 4}"
1908,"{'danceability': 0.402, 'energy': 0.785, 'key': 8, 'loudness': -5.441, 'mode': 1, 'speechiness': 0.0419, 'acousticness': 0.00343, 'instrumentalness': 0, 'liveness': 0.0624, 'valence': 0.838, 'tempo': 156.108, 'type': 'audio_features', 'id': '1SxC3v3Mcm5VPxeXaF59NY', 'uri': 'spotify:track:1SxC3v3Mcm5VPxeXaF59NY', 'track_href': 'https://api.spotify.com/v1/tracks/1SxC3v3Mcm5VPxeXaF59NY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1SxC3v3Mcm5VPxeXaF59NY', 'duration_ms': 244400, 'time_signature': 4}"
1909,"{'danceability': 0.527, 'energy': 0.82, 'key': 6, 'loudness': -5.855, 'mode': 1, 'speechiness': 0.0325, 'acousticness': 0.00157, 'instrumentalness': 1.88e-05, 'liveness': 0.0882, 'valence': 0.25, 'tempo': 120.041, 'type': 'audio_features', 'id': '3dw0A0cbqT6Oy2V8KfGwIT', 'uri': 'spotify:track:3dw0A0cbqT6Oy2V8KfGwIT', 'track_href': 'https://api.spotify.com/v1/tracks/3dw0A0cbqT6Oy2V8KfGwIT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3dw0A0cbqT6Oy2V8KfGwIT', 'duration_ms': 193000, 'time_signature': 4}"
1910,"{'danceability': 0.595, 'energy': 0.643, 'key': 5, 'loudness': -9.275, 'mode': 1, 'speechiness': 0.0365, 'acousticness': 0.76, 'instrumentalness': 0, 'liveness': 0.538, 'valence': 0.73, 'tempo': 135.633, 'type': 'audio_features', 'id': '5uES1C2NgkdrNHiCwf9jRr', 'uri': 'spotify:track:5uES1C2NgkdrNHiCwf9jRr', 'track_href': 'https://api.spotify.com/v1/tracks/5uES1C2NgkdrNHiCwf9jRr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5uES1C2NgkdrNHiCwf9jRr', 'duration_ms': 158040, 'time_signature': 4}"
1911,"{'danceability': 0.478, 'energy': 0.733, 'key': 5, 'loudness': -7.667, 'mode': 1, 'speechiness': 0.0288, 'acousticness': 0.185, 'instrumentalness': 0.00217, 'liveness': 0.107, 'valence': 0.384, 'tempo': 155.048, 'type': 'audio_features', 'id': '5H3swhQ72PiGd5PYz4P61P', 'uri': 'spotify:track:5H3swhQ72PiGd5PYz4P61P', 'track_href': 'https://api.spotify.com/v1/tracks/5H3swhQ72PiGd5PYz4P61P', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5H3swhQ72PiGd5PYz4P61P', 'duration_ms': 238494, 'time_signature': 4}"
1912,"{'danceability': 0.433, 'energy': 0.666, 'key': 10, 'loudness': -6.102, 'mode': 1, 'speechiness': 0.0287, 'acousticness': 0.093, 'instrumentalness': 0, 'liveness': 0.141, 'valence': 0.382, 'tempo': 159.369, 'type': 'audio_features', 'id': '6H3S7yQjHn3ErG9o6v7qBs', 'uri': 'spotify:track:6H3S7yQjHn3ErG9o6v7qBs', 'track_href': 'https://api.spotify.com/v1/tracks/6H3S7yQjHn3ErG9o6v7qBs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6H3S7yQjHn3ErG9o6v7qBs', 'duration_ms': 394173, 'time_signature': 4}"
1913,"{'danceability': 0.299, 'energy': 0.754, 'key': 5, 'loudness': -4.078, 'mode': 0, 'speechiness': 0.0732, 'acousticness': 0.0195, 'instrumentalness': 1.3e-06, 'liveness': 0.103, 'valence': 0.295, 'tempo': 169.373, 'type': 'audio_features', 'id': '6NaBDHz9C7Uz9Z9CwLXQin', 'uri': 'spotify:track:6NaBDHz9C7Uz9Z9CwLXQin', 'track_href': 'https://api.spotify.com/v1/tracks/6NaBDHz9C7Uz9Z9CwLXQin', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6NaBDHz9C7Uz9Z9CwLXQin', 'duration_ms': 221053, 'time_signature': 4}"
1914,"{'danceability': 0.853, 'energy': 0.852, 'key': 1, 'loudness': -5.063, 'mode': 1, 'speechiness': 0.201, 'acousticness': 0.0236, 'instrumentalness': 0, 'liveness': 0.342, 'valence': 0.832, 'tempo': 98.022, 'type': 'audio_features', 'id': '3U3STxSn8EgiwtbgG7g6k1', 'uri': 'spotify:track:3U3STxSn8EgiwtbgG7g6k1', 'track_href': 'https://api.spotify.com/v1/tracks/3U3STxSn8EgiwtbgG7g6k1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3U3STxSn8EgiwtbgG7g6k1', 'duration_ms': 166458, 'time_signature': 4}"
1915,"{'danceability': 0.802, 'energy': 0.645, 'key': 5, 'loudness': -6.181, 'mode': 0, 'speechiness': 0.0715, 'acousticness': 0.272, 'instrumentalness': 0, 'liveness': 0.119, 'valence': 0.376, 'tempo': 100.001, 'type': 'audio_features', 'id': '2x0RZdkZcD8QRI53XT4GI5', 'uri': 'spotify:track:2x0RZdkZcD8QRI53XT4GI5', 'track_href': 'https://api.spotify.com/v1/tracks/2x0RZdkZcD8QRI53XT4GI5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2x0RZdkZcD8QRI53XT4GI5', 'duration_ms': 157202, 'time_signature': 4}"
1916,"{'danceability': 0.39, 'energy': 0.946, 'key': 2, 'loudness': -7.258, 'mode': 1, 'speechiness': 0.0742, 'acousticness': 8.47e-06, 'instrumentalness': 0.00018, 'liveness': 0.0864, 'valence': 0.402, 'tempo': 82.782, 'type': 'audio_features', 'id': '3216P9mqpwHlUS5i0LaIAF', 'uri': 'spotify:track:3216P9mqpwHlUS5i0LaIAF', 'track_href': 'https://api.spotify.com/v1/tracks/3216P9mqpwHlUS5i0LaIAF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3216P9mqpwHlUS5i0LaIAF', 'duration_ms': 175745, 'time_signature': 4}"
1917,"{'danceability': 0.538, 'energy': 0.607, 'key': 1, 'loudness': -9.133, 'mode': 0, 'speechiness': 0.0352, 'acousticness': 0.0586, 'instrumentalness': 0.769, 'liveness': 0.0975, 'valence': 0.543, 'tempo': 100.158, 'type': 'audio_features', 'id': '61OkcfgMfjlJQ7MJPU0HLz', 'uri': 'spotify:track:61OkcfgMfjlJQ7MJPU0HLz', 'track_href': 'https://api.spotify.com/v1/tracks/61OkcfgMfjlJQ7MJPU0HLz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/61OkcfgMfjlJQ7MJPU0HLz', 'duration_ms': 283493, 'time_signature': 4}"
1918,"{'danceability': 0.423, 'energy': 0.808, 'key': 7, 'loudness': -4.808, 'mode': 1, 'speechiness': 0.0563, 'acousticness': 0.0159, 'instrumentalness': 9.91e-05, 'liveness': 0.117, 'valence': 0.616, 'tempo': 159.55, 'type': 'audio_features', 'id': '6LhN47wHHsSzlbVzsXe7cY', 'uri': 'spotify:track:6LhN47wHHsSzlbVzsXe7cY', 'track_href': 'https://api.spotify.com/v1/tracks/6LhN47wHHsSzlbVzsXe7cY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6LhN47wHHsSzlbVzsXe7cY', 'duration_ms': 208693, 'time_signature': 4}"
1919,"{'danceability': 0.692, 'energy': 0.799, 'key': 1, 'loudness': -7.924, 'mode': 1, 'speechiness': 0.164, 'acousticness': 0.388, 'instrumentalness': 0, 'liveness': 0.301, 'valence': 0.549, 'tempo': 97.978, 'type': 'audio_features', 'id': '21REQ1bCUWphT2QK3bLWYQ', 'uri': 'spotify:track:21REQ1bCUWphT2QK3bLWYQ', 'track_href': 'https://api.spotify.com/v1/tracks/21REQ1bCUWphT2QK3bLWYQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/21REQ1bCUWphT2QK3bLWYQ', 'duration_ms': 199667, 'time_signature': 4}"
1920,"{'danceability': 0.386, 'energy': 0.907, 'key': 11, 'loudness': -3.74, 'mode': 0, 'speechiness': 0.037, 'acousticness': 0.0612, 'instrumentalness': 0.000269, 'liveness': 0.088, 'valence': 0.207, 'tempo': 106.972, 'type': 'audio_features', 'id': '1pvlznzPWn4XiPzQzrrdIU', 'uri': 'spotify:track:1pvlznzPWn4XiPzQzrrdIU', 'track_href': 'https://api.spotify.com/v1/tracks/1pvlznzPWn4XiPzQzrrdIU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1pvlznzPWn4XiPzQzrrdIU', 'duration_ms': 248387, 'time_signature': 4}"
1921,"{'danceability': 0.569, 'energy': 0.716, 'key': 1, 'loudness': -4.871, 'mode': 1, 'speechiness': 0.0297, 'acousticness': 0.0124, 'instrumentalness': 0, 'liveness': 0.0727, 'valence': 0.307, 'tempo': 111.946, 'type': 'audio_features', 'id': '0tp2cUnCAcsR6xL5kw9HKu', 'uri': 'spotify:track:0tp2cUnCAcsR6xL5kw9HKu', 'track_href': 'https://api.spotify.com/v1/tracks/0tp2cUnCAcsR6xL5kw9HKu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0tp2cUnCAcsR6xL5kw9HKu', 'duration_ms': 250453, 'time_signature': 4}"
1922,"{'danceability': 0.531, 'energy': 0.818, 'key': 2, 'loudness': -5.358, 'mode': 1, 'speechiness': 0.0452, 'acousticness': 0.0694, 'instrumentalness': 0.0096, 'liveness': 0.263, 'valence': 0.471, 'tempo': 90.767, 'type': 'audio_features', 'id': '6XUHsYE38CEbYunT983O9G', 'uri': 'spotify:track:6XUHsYE38CEbYunT983O9G', 'track_href': 'https://api.spotify.com/v1/tracks/6XUHsYE38CEbYunT983O9G', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6XUHsYE38CEbYunT983O9G', 'duration_ms': 248173, 'time_signature': 4}"
1923,"{'danceability': 0.587, 'energy': 0.687, 'key': 1, 'loudness': -8.635, 'mode': 0, 'speechiness': 0.0509, 'acousticness': 0.0281, 'instrumentalness': 0.14, 'liveness': 0.121, 'valence': 0.402, 'tempo': 169.938, 'type': 'audio_features', 'id': '7KvSuH86lIT2aTl9PBCAfd', 'uri': 'spotify:track:7KvSuH86lIT2aTl9PBCAfd', 'track_href': 'https://api.spotify.com/v1/tracks/7KvSuH86lIT2aTl9PBCAfd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7KvSuH86lIT2aTl9PBCAfd', 'duration_ms': 228840, 'time_signature': 4}"
1924,"{'danceability': 0.646, 'energy': 0.719, 'key': 1, 'loudness': -7.192, 'mode': 1, 'speechiness': 0.0685, 'acousticness': 0.159, 'instrumentalness': 0.000432, 'liveness': 0.0758, 'valence': 0.71, 'tempo': 160.008, 'type': 'audio_features', 'id': '3Wwd0W89C56cCRilh8HFNs', 'uri': 'spotify:track:3Wwd0W89C56cCRilh8HFNs', 'track_href': 'https://api.spotify.com/v1/tracks/3Wwd0W89C56cCRilh8HFNs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3Wwd0W89C56cCRilh8HFNs', 'duration_ms': 216947, 'time_signature': 4}"
1925,"{'danceability': 0.557, 'energy': 0.66, 'key': 2, 'loudness': -7.706, 'mode': 1, 'speechiness': 0.056, 'acousticness': 0.654, 'instrumentalness': 1.66e-06, 'liveness': 0.138, 'valence': 0.962, 'tempo': 95.252, 'type': 'audio_features', 'id': '47gmoUrZV3w20JAnQOZMcO', 'uri': 'spotify:track:47gmoUrZV3w20JAnQOZMcO', 'track_href': 'https://api.spotify.com/v1/tracks/47gmoUrZV3w20JAnQOZMcO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/47gmoUrZV3w20JAnQOZMcO', 'duration_ms': 119200, 'time_signature': 4}"
